Player,Team,coach
Dalton Knecht,Tennessee,ox
Pelle Larrson,Arizonia,ox
Stephen Castle,Uconn,ox
Kylan Boswell,Arizonia,ox
Jared McCain,Duke,ox
Jarod Lucas,Nevada,ox
Kenan Blackshear,Nevada,ox
Wade Taylor,Texas A&M,ox
Mark Sears,Alabama,norm
Troy Alexander,Creighton,norm
Coleman Hawkins,Illinois,norm
Aaron Estrada,Alabama,norm
Jaxson Robinson,Byu,norm
Max Abmas,Texas,norm
Great Osobor,Utah st.,norm
Bo Buie,Northwestern,norm
LJ Cryer,Houston,chaz
Donavan Clingin,Uconn,chaz
Jonas Aldoo,Tennessee,chaz
Zakai Zeigler,Tennessee,chaz
Tolu Smith,Mississppi St.,chaz
Josh Hubbard,Mississppi St.,chaz
N'Faly Dante,Oregon,chaz
Jackson Shelstad,Oregon,chaz
Rj Davis,North Carolina,urb
Rob Dillingham,Kentucky,urb
Tucker Devries,Drake,urb
Laedon Ledee,San Diego St.,urb
Jayden Nunn,Baylor,urb
Tyon Grant-Foster,Grand Canyon,urb
Ashor Achor,Samford,urb
Tyson Walker,Michigan st.,urb
BradenSmith,Purdue,shelton
Rayj Dennis,Baylor,shelton
Graham Ike,Gonzaga,shelton
Daron Holmes,Dayton,shelton
Meechie Johnson,S. Carolina,shelton
Terrence Edwards Jr.,James Madison,shelton
Dj Home,NC State,shelton
Johni Broome,Auburn,shelton
Cam Spencer,Uconn,gardner
Hunter Dickerson,Kansas,gardner
Aj Stoff,Wisconsin,gardner
Reed Sheppard,Kentucky,gardner
Donovan Dent,New Mexico,gardner
Johnny Furphy,Kansas,gardner
Tyree Radford,Texas A&M,gardner
KJ Simmons,Colorado,gardner
Antonio Reeves,Kentucky,tim kull
Keshon Gilbert,Iowa State,tim kull
Ose Ighodaro,Marquette,tim kull
Rop Isaacs,Texas Tech,tim kull
Kj Adams Jr.,Kansas,tim kull
Elliot Cadeau,North Carolina,tim kull
Trey Kaufman-Renn,Perdue,tim kull
Mark Mitchell,Duke,tim kull
Baylor Schelerman,Creighton,ludlow
Kam Jones,Marquette,ludlow
Keshad Johnson,Arizona,ludlow
Tamin Lipsey,Iowa State,ludlow
Grant Nelson,Alabama,ludlow
Jaelen House,New Mexico,ludlow
Dylan Disu,Texas,ludlow
Joseph Girard,Clemson,ludlow
Terrence Shannon,Illinois,stick
Marcus Domask,Illinois,stick
Tyler Kolek,Marquette,stick
J'wan Roberts,Houston,stick
Jalen Bridges,Baylor,stick
Yves Missi,Baylor,stick
Steven Ashworth,Creighton,stick
Stevie Mitchell,Marquette,stick
Zach Edey,Perdue,bear
Emanuel Sharp,Houston,bear
Harrison Ingram,North carolina,bear
Walter Clayton Jr.,Florida,bear
Milan Momcilovic,Iowa State,bear
Josiah Jordan Jamar,Tennessee,bear
Johnell Davis,FAU,bear
Jalen Blackmon,Stetson,bear
Jamal Shead,Houston,herbie
Fletcher Loyer,Purdue,herbie
Cormac Ryan,North Carolina,herbie
Tre Mitchell,Kentucky,herbie
Jamal Mashburn Jr.,New Mexico,herbie
DJ Wagner,Kentucky,herbie
Jermaine Couisnard,Oregon,herbie
Alex Karaban,Uconn,herbie
Ryan Kalkbrenner,Creighton,hop
Jaylin Williams,Auburn,hop
Kyle Fillipowski,Duke,hop
Ja'kobe Walter,Baylor,hop
ChadBaker-Mazara,Auburn,hop
Rylan Griffen,Alabama,hop
Aldan Mahaney,St. Mary's,hop
TJ Bickerstaff,James Madison,hop
Caleb Love,Arizona,vicious
Armando Bacat,North Carolina,vicious
Oumar Ballo,Arizona,vicious
Jeremy Roach,Duke,vicious
Curtis Jones,Iowa State,vicious
Quincy Guerrier,Illinois,vicious
David Joplin,Marquette,vicious
Tre Mitchell,Iowa State,vicious
Tristen Newtown,Uconn,gman
Kevin McCullar,Kansas,gman
Lance Jones,Perdue,gman
PJ Hall,Clemson,gman
Langston Love,Baylor,gman
Anton Watson,Gonzaga,gman
Nolan Hickman,Gonzaga,gman
Tyrese Proctor,Duke,gman
